KevLeo94,2019-03-15 13:07:17,b'RT @pergijauh: https://t.co/7L3aUE1g3i'
KevLeo94,2019-03-14 08:14:35,"b'RT @jokowi: Jalan Trans Papua bukan sekadar untuk memperlancar arus barang atau membuka akses ke daerah terisolir, tapi juga memberikan ras\xe2\x80\xa6'"
KevLeo94,2019-03-14 08:13:15,b'@pergijauh ITS'
KevLeo94,2019-03-13 03:59:55,"b'RT @nandanursitanti: ""Tapi tolong jangan buat masalah yang ga ada,yang ngebuat kita lupa kalo kita masih saling cinta""-@uusbiasaaja'"
KevLeo94,2019-03-13 03:59:01,"b'RT @JajangRidwan19: GILA , BIADAB \n\nhttps://t.co/JeBP81h4UN'"
KevLeo94,2019-03-13 02:52:14,b'RT @nurhadi_aldo: Jemtim = Jember Timur\nJemsel = Jember Selatan\nJembut = bulu kemaluan'
KevLeo94,2019-03-11 02:37:34,"b'RT @BekrafID: Penulisan yang benar tuh BEKRAF, bukan BEKRAFT. Kami ini Lembaga Pemerintahan, bukan perusahaan keju.'"
KevLeo94,2019-03-11 02:34:30,b'GBLK\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/Kp6caSLdVQ'
KevLeo94,2019-03-10 18:04:31,"b'RT @Arie_Kriting: Semoga kita dijauhkan dari semua hubungan, Pacaran, Menikah, Poligami bahkan Cerai sekalipun. Kita mending hidup sendiri\xe2\x80\xa6'"
KevLeo94,2019-03-10 18:03:50,b'@midogumelar Konco plek a mksdmu?'
KevLeo94,2019-03-10 16:29:55,b'@midogumelar Nang gm mek 15 menit do wkwkwk'
KevLeo94,2019-03-10 15:32:36,b'@gus_onedi @Arie_Kriting Siap gan'
KevLeo94,2019-03-10 15:32:01,b'@midogumelar Adoh njing.. wkwkwkwk macet nang pasuruan'
KevLeo94,2019-03-10 15:20:26,"b'RT @nurhadi_aldo: Nurhadi Aldo adalah pasangan capres cawapres dengan kampanye kreatif, ramah lingkungan,dan unik karena dana kampanye kami\xe2\x80\xa6'"
KevLeo94,2019-03-10 15:19:49,"b'@midogumelar Gapopo. Kon wes meloki jejak ku brarti wkwkwk saking bolo e wes entek, akhir e budhal dewe lek arep lapo""'"
KevLeo94,2019-03-10 12:20:34,b'@Arie_Kriting Lho itu bener mereka paling tertindas. Lahan korupsinya berkurang drastis dibandingkan rezim sebelumnya.'
KevLeo94,2019-03-10 12:19:51,"b'RT @Arie_Kriting: Kalau ku perhatikan, yang selalu bilang rakyat susah di kubu oposisi ini punya kemampuan ekonomi yang baik. Bukan termasu\xe2\x80\xa6'"
KevLeo94,2019-03-10 12:18:27,b'@fiomssad Krn anda kurang hiburan'
KevLeo94,2019-03-10 12:18:04,b'@midogumelar Cok koyo aku ae. Nntn budhal dewe.'
KevLeo94,2019-03-10 12:17:37,b'RT @DetroitBORG: Transparent Galaxy S10+ https://t.co/UAfsvp7rhg'
KevLeo94,2019-03-10 07:26:53,"b'RT @nostradm: Nemu ini di FB, luar biasa...kalau iman ada di hati bukan di mata dan syahwat maka akan sekuat batu karang... https://t.co/uO\xe2\x80\xa6'"
KevLeo94,2019-03-10 07:26:05,"b'RT @SJChristoper: Entah disadari atau tidak, memang terkadang kita lupa cara me-manusia-kan manusia. Salut untuk Pak Gunawan. https://t.co/\xe2\x80\xa6'"
KevLeo94,2019-03-10 07:24:11,b'RT @pinotski: aku orangnya jujur apa adanya. kalo aku nulis ketawa berarti memang bener ketawa hehehehe lmao https://t.co/OwNvjK5py9'
KevLeo94,2019-03-10 06:02:19,"b'@DFSK_indonesia Rangka sama body kuat, harga murah, model bagus buat di preteli(modif). Fitur belakangan aja. Toh di preteli mobilnya.'"
KevLeo94,2019-03-10 05:58:20,b'RT @AlamiSadHomie: https://t.co/HJBlhwPFub'
KevLeo94,2019-03-10 05:56:42,b'RT @amandagempita: Belajar tentang iman dg warga Bali.... saat mrk sembahyang /upacara... mrk tdk peduli dg pantat bule yg berbikini... apa\xe2\x80\xa6'
KevLeo94,2019-03-10 05:33:42,b'@midogumelar @GANandreas Jual ginjal'
KevLeo94,2019-03-10 05:33:20,b'RT @GANandreas: GG anjeng!! Harus nya dulu pas mantan selingkuh gini aja ya https://t.co/EbZSvHOiHs'
KevLeo94,2019-03-10 03:19:39,b'RT @nurhadi_aldo: Desas desus susunan kementerian dan jajaran staff kepemimpinan Nurhadi Aldo. Belum menang aja udah nyiapin jajaran kement\xe2\x80\xa6'
KevLeo94,2019-03-09 12:55:52,b'@fiomssad Mantap.. siluman muka seribu'
KevLeo94,2019-03-09 03:36:30,b'RT @jengkelin__: yang kemaren nanyain..  Dur*xnya AA buat apa.. Mungkin ini sedikit bisa menjelaskan. https://t.co/X630SMEcct'
KevLeo94,2019-03-09 03:34:33,b'RT @InfoTwitwor: Ada yang terpelatuq https://t.co/UEKaPCzIwG'
KevLeo94,2019-03-09 03:32:35,b'Belakangan ini blas kaga bisa bangun pagi. Apakah yg terjadi pada tubuh ini?'
KevLeo94,2019-03-09 03:32:00,b'@fiomssad Km pengujinya?'
KevLeo94,2019-03-08 15:55:09,b'@pergijauh Di dalam pikiranmu bang'
KevLeo94,2019-03-08 15:54:56,b'RT @yeahmahasiswa: Sekarang kau rasakan gimana rasanya diabaikan. :) https://t.co/vsR1zjjGsk'
KevLeo94,2019-03-08 15:53:41,b'@fiomssad Wah saya senang ini. Bisa praktik muka dua'
KevLeo94,2019-03-06 10:29:52,b'RT @nurhadi_aldo: https://t.co/ny6Yhbjukx'
